WORD	arg0.np..v.v..arg2.np..arg1.np.	arg0.np..v.v..arg1.np..arg2.pp.	PREFERENCE	LLR	PEARSONRESID	LOGODDSRATIO	MI	DELTAPC2W	DELTAPW2C	FYE
enlist	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
entrust	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
equate	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
equip	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
exchange	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
exempt	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
exert	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
exonerate	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
expel	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
familiarize	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
finger	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
freeze	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
